rank,content_id,client_id,model_score,archetype,reason_code,action,impressions_90d,sessions_90d,content_age_days,ctr,avg_position,word_count,engagement_rate
630,content_2987bed39226,client_624b60c58c,0.6735472733000547,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,50,3,95,0.0,6.4,3886.0,0.0
631,content_99b92eeb7d61,client_19581e27de,0.6734155253519317,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,523,4,98,0.0,38.7,2937.0,0.0
632,content_57f2ab8f6bee,client_19581e27de,0.6733305802847279,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5120,14,313,0.06,10.6,2628.0,0.0
633,content_a07deba7e9e5,client_9f14025af0,0.6732097776664466,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,224,1,306,0.0,61.3,1167.0,0.0
634,content_a51f84a48b68,client_02d20bbd7e,0.6731802832451257,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,189,5,332,0.53,10.9,1543.0,0.0
635,content_eae0ce663056,client_349c41201b,0.6731628586620118,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1415,8,144,0.28,22.0,3983.0,0.0
636,content_53bcfa77aff4,client_02d20bbd7e,0.67295287860882,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,539,7,332,0.56,15.5,1499.0,0.0
637,content_6138b6f254ec,client_19581e27de,0.6728536882851134,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,490,16,139,0.0,44.6,3132.0,0.0
638,content_6c330c18ad36,client_624b60c58c,0.6724655895774144,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,28,2,90,0.0,8.4,3726.0,0.0
639,content_38112bdd0c6e,client_349c41201b,0.6722809870137547,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6336,44,124,0.19,4.1,2857.0,0.0
640,content_7d014a477d14,client_349c41201b,0.6722717960865124,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,7051,16,104,0.1,16.0,2697.0,0.0
641,content_4aa3bd47b90c,client_19581e27de,0.6721362313219291,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,964,6,126,0.1,12.2,2754.0,0.0
642,content_74de17fdb849,client_19581e27de,0.6720313711854206,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1711,13,139,0.12,9.5,2969.0,7.69
643,content_c0342d33095e,client_19581e27de,0.6718266926635427,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1643,12,139,0.18,7.7,2702.0,0.0
644,content_4d7bba3dcb7c,client_19581e27de,0.6713101373668847,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,12076,23,103,0.07,5.3,2780.0,0.0
645,content_7d8e5e6b1f73,client_19581e27de,0.6713067747873245,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1712,5,124,0.12,9.4,2975.0,20.0
646,content_d90a179d732f,client_349c41201b,0.6708860046714032,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1581,8,126,0.13,9.9,2830.0,0.0
647,content_b893865b83e3,client_19581e27de,0.6706507366864163,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,12947,51,139,0.16,8.0,3757.0,15.69
648,content_89b7d57d16fd,client_19581e27de,0.6699014424224201,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,688,2,124,0.73,1.7,2621.0,0.0
649,content_a40dfc3c5ff9,client_19581e27de,0.6697910732355341,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,997,4,98,0.1,8.9,3051.0,0.0
650,content_621a8827feb1,client_19581e27de,0.6695661377981824,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,798,5,98,0.5,1.9,2829.0,0.0
651,content_b43fe565d3fb,client_19581e27de,0.6693304515311838,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,900,19,95,0.0,43.9,2918.0,5.26
652,content_02707e327a37,client_0b918943df,0.6692078833667523,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,144,2,347,1.39,5.4,1369.0,0.0
653,content_575564a123ab,client_19581e27de,0.6689730840677237,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,527,3,126,0.76,2.5,2896.0,0.0
654,content_f6f172c354a7,client_624b60c58c,0.668758862937441,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,59,6,96,0.0,4.1,4256.0,0.0
655,content_345cef6bdf4e,client_349c41201b,0.6682270519785775,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,806,4,165,0.25,10.9,3108.0,0.0
656,content_0bfb89290c3c,client_19581e27de,0.6679915286716729,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,110,2,112,0.0,8.2,3002.0,0.0
657,content_b426ad494acc,client_349c41201b,0.6678815763991334,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,359,4,148,0.28,10.0,3773.0,0.0
658,content_51ab2032df03,client_19581e27de,0.6674061288432737,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,720,3,139,0.28,12.6,3147.0,0.0
659,content_d66f60bb6d3d,client_349c41201b,0.6673410810778445,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6397,45,126,0.22,23.4,3074.0,2.22
660,content_f8ffc6900606,client_349c41201b,0.6671267402662551,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6003,48,148,0.25,35.1,4225.0,2.08
661,content_b361b9bdad60,client_624b60c58c,0.6669875099860473,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,41,8,91,0.0,5.1,4638.0,0.0
662,content_4c5aa1c92120,client_19581e27de,0.666625570662229,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1066,6,119,0.09,8.8,3021.0,16.67
663,content_688dce3d9b17,client_349c41201b,0.6662340123126005,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1038,16,144,0.29,9.9,5547.0,0.0
664,content_1ba5be6351de,client_624b60c58c,0.6650687764180002,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,469,1,307,0.0,10.2,4281.0,0.0
665,content_8c9c21c6f817,client_19581e27de,0.6650012288687358,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,3785,6,98,0.13,7.7,2774.0,0.0
666,content_2950a7746afa,client_19581e27de,0.6648830775809762,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,911,3,98,0.11,5.9,3185.0,0.0
667,content_d32e4fb1896a,client_624b60c58c,0.664765603697075,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,112,4,112,0.0,6.6,4154.0,0.0
668,content_2833a1b8e20f,client_19581e27de,0.6645337309938713,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1232,4,126,0.32,3.2,3347.0,0.0
669,content_dc7c45ce8806,client_19581e27de,0.6644383104417411,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2615,4,95,0.15,9.4,2761.0,0.0
670,content_fec82453d953,client_19581e27de,0.6642215198354758,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1411,4,98,0.14,19.0,2735.0,0.0
671,content_f2011d0e4e74,client_19581e27de,0.6636570657722727,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,918,9,139,0.11,42.0,2773.0,11.11
672,content_024a399cc14b,client_19581e27de,0.663652848030147,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2031,8,119,0.15,14.7,2652.0,0.0
673,content_9e5fd2619399,client_349c41201b,0.6635527876634778,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1450,9,144,0.34,9.9,3041.0,0.0
674,content_4e5f8f3d7d9f,client_19581e27de,0.6634276358310083,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,16255,20,124,0.09,4.7,3024.0,0.0
675,content_672622d84ce9,client_9f14025af0,0.6632942218691373,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,148,1,309,0.68,51.8,1030.0,0.0
676,content_f8b027f2c75d,client_624b60c58c,0.6632045008536681,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,74,3,91,0.0,3.3,4156.0,0.0
677,content_1605ce53a19d,client_349c41201b,0.6631613947885292,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,12240,28,104,0.11,33.3,2830.0,0.0
678,content_9278ef59fcf2,client_349c41201b,0.6626465598612835,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,4368,33,124,0.18,24.1,3184.0,0.0
